主分類,子分類,標題,時間,內文
東吳資科相關,其他東吳資科,政大or東吳法 選校/選系,2026/7/10 上午 3:05:22,"小弟我志願是法律系 但學測考得不好
國13（49）
英文10（40）
數B6（24）
社會14（55）
三科模考平均
歷史52
公民57
地理48
東吳法的話如果按照平均算多三分
算是比較容易上的選擇
但有身邊朋友說可以去政大雙轉 資格容易獲取
所以我考量了一下我較有可能上的科系
中文系差兩分
東南亞語言學系的話分數剛好
阿語的話差一分
比較夢想的是歷史系 差五分
更更更夢幻的社會學系公民差兩分
因為我公民蠻常寫到59 60的 有必要把社會學系當作首要目標嗎

以上分數推測只建立在分數不變的情況下 不知道今年分數會如何🥲
還請學長姐們不吝賜教🙏"
東吳資科相關,其他東吳資科,東吳的帥學長漂亮學姊請進,2022/3/10 下午 6:55:35,"學測成績如下：

國：12（前）
英：12（前）
數A：6（均）
數B：11（前）
社：13（頂）

東吳可以說是私立商學院的頭頭！
想請問學長姐有沒有推薦的商科科系？
（希望是未來出路明確的科系！）

BTW 今天與學校輔導老師聊過
他建議我可以讀資訊相關的科系
想請問學長姐們會推東吳的資管和資科嗎？"
東吳資科相關,其他東吳資科,東吳的gmail😡,2026/5/26 下午 11:15:09,"到底東吳大學的gmail到底是啥啊😡😡😡
為啥我繳學費還不配擁有一個gmail了
學號+@scu.edu.tw
根本不能用啊 我只能去看信箱而已
但我需要去申請ai工具學生版咩🥹🥹🥹🥹🥲"
東吳資科相關,其他東吳資科,東吳社工還是東海社工,2026/5/19 上午 12:11:31,"面試結束了 接著要擔心的就是二階的放榜😭
想問各位學長姐東吳社工和東海社工要怎麼選（我是台中人）"
東吳資科相關,其他東吳資科,東吳碩專選擇,2025/3/18 下午 4:17:41,"錄取了東吳企業管理和資料科學系，想了解有就讀經驗的學長姐會如何推薦？

本身近20年工作經驗，上市公司經理職，擔任過零售業銷售主管，近年負責較多

營運管理工作（數據分析、SOP、系統優化…等），前幾年學了PowerBI，也略懂Python

本身對數據 / 程式 / AI 也蠻有興趣，所以報了資科系，但畢竟不是這專業出身，

企管對未來職涯的泛用性感覺較高，有點選擇困難。"
東吳資科相關,其他東吳資科,東吳人敢拜關公嗎,2026/5/30 上午 10:43:25,"三國時代，咱們東吳人的祖先孫權，為了討回荊州而宰了關公，此後咱東吳人就背負忘恩負義的小人標籤。

最近看到有學妹拜關公，請問拜了會不會關公顯靈，被青龍偃月刀劈成兩半 ..."
東吳資科相關,其他東吳資科,9年前的今天，令東吳人難忘的日子,2026/6/2 上午 9:32:06,9年前的今天，因為暴雨導致外雙溪校區大淹水，整個東吳汪洋一片，東吳水師就此聞名，現在的新生應該都不能體會了哈哈 !
東吳資科相關,其他東吳資科,#升學 留北商還是讀東吳,2026/7/10 下午 8:38:04,"（排版醜抱歉）
本人目前是北商五專畢業 
原本不是讀會計的
現在：北商會資有錄取和東吳大三會計系轉學考也錄取了

想請問大家會覺得我繼續留在北商好
還是去讀東吳會計
另外想問畢業前有沒有實習過對未來入職會很重要嗎？
家人是希望我唸東吳會計系 但我自己就很擔心關於實習的問題 還有我的程度能不能跟得上 因為去插大的話一定是延畢的 補學分的同時我怕沒有時間去實習之類的 如果只是暑期或寒假實習別人會收我嗎
而讀北商的話環境相對熟悉 就是很安穩的度過兩年畢業 
想請大家給我一點建議！"
東吳資科相關,其他東吳資科,東吳大學真的好無聊,2026/6/5 上午 2:28:21,感覺除了讀書外就沒什麼事能做了
東吳資科相關,其他東吳資科,#升學 東吳日文or中字輩歷史,2026/6/4 上午 12:21:15,小弟我對於日文跟日本文化是蠻有興趣的，想問問有沒有東吳日文的學生能給一些系上的介紹或是選填上的建議，以及如果想要輔修或雙主修其他科系的門檻，謝謝🙏
東吳資科相關,其他東吳資科,東吳資管,2017/7/17 下午 7:52:25,"請問一下東吳資管推嗎
好像東吳的都填法律比較少看到資管
想再問問現在的環境適合資管出身的同學嗎"
東吳資科相關,其他東吳資科,東吳大學,2026/7/9 上午 11:37:58,請問東吳大學英文系暑轉 二年級 去年備取到第幾個有上🥹🥹
東吳資科相關,其他東吳資科,【東吳實踐左行社 成立大會招員中！】,2026/7/11 下午 11:39:46,
東吳資科相關,其他東吳資科,#升學 東吳大學,2026/5/30 下午 11:09:07,想要請問大家東吳法週六是要去上課的對吧最近看到很多人說有點猶豫還是早已經改掉了
東吳資科相關,其他東吳資科,東吳有什麼好玩的,2026/6/12 上午 1:49:10,本人成功錄取了東吳資管系人工智慧組，因為大一要跑外雙溪，所以想問問學長姐們兩大校區有什麼好吃的餐廳或好玩的地點，也想多認識此系的前輩
東吳資科相關,其他東吳資科,東吳傳奇人物（城中）,2026/6/18 下午 1:25:40,一、推車阿伯
東吳資科相關,其他東吳資科,東吳算GPA是4.3還4.0,2026/7/2 上午 1:04:35,如題
東吳資科相關,其他東吳資科,逢甲/東吳/世新 問題,2026/7/13 下午 6:09:26,"最近我弟(高二)為了升學問題很煩惱，他不是那種很會念書的料，成績看起來注定跟國立無緣，但他對社團活動和人際互動很有一套，個性也比較活潑外向，他希望去校風比較開放、專業能力強的學校，目標是畢業後能直接投入職場，目前跟他討論完考慮的學校有世新、逢甲、東吳，但不知道該怎麼選系，希望大家能給點建議，有先問了chatgpt，他覺得只看科系名稱的話世新口傳跟逢甲行銷他是有興趣的


另外，因為他對ai相關的應用也很有興趣，想知道這幾間學校有沒有什麼特別的 ai 課程或資源？有沒有哪個科目是現在高中生可以開始加強的，對未來申請這些學校會比較有幫助？"
東吳資科相關,其他東吳資科,東吳日文面試心得,2026/5/22 下午 1:44:44,"東吳日文面試
採團體面試，我記得好像六個人還七個這樣。
就第一輪都是自我介紹，接著教授會根據你的自我介紹還有備審做提問。可以感受教授們非常有效率的分工，他們有固定的順序去發問。A 同學就是甲教授主要問，除非講到其他教授有興趣的他們才會回應。（是理想的小組報告分工模式呢！）
因為我高中唸的很靠近東吳，他們就問我說，那你一定很熟外雙溪吧，其他面試的同學都是比較遠的學校那你來介紹外雙溪吧！
哈哈哈哈我真的嚇死了，這什麼問題啊，然後我就說：「額、外雙溪本人就很好玩，我小時候會去抓魚」對聽起來很瞎但我真的小時候會到外雙溪玩。
「額、還有我最近發現這附近有個廢棄礦坑」嗯這也沒有開玩笑是真的有，但我也沒有下去過那個礦坑我是聽我高中老師講的。
可能廢棄礦坑真的太炫了吧，我感覺教授精神都來了。然後感覺接下來所有面試的話題，背後都有一個廢棄礦坑在隱隱支配大家。
教授還問大家一個問題：「如果突然有一個月的假期會拿來做什麼」就有一個男生說他會去探索台灣大家不知道的景點，教授馬上說：「喔那你可以去看看那個廢棄礦坑」
然後結尾還跟我們說：希望大家都入學我們可以一起去探索廢棄礦坑。
我真的哭了好吧，感覺你到底想不想讀日文系已經不重要了，因為廢棄礦坑實在是太ㄅㄧㄤˋ了，怎麼樣跟廢棄礦坑扣合才是重點好吧😭
總結：反正廢棄礦坑秒了，歡迎有入學東吳的朋友們可以去探險，但因為前面是民宅所以最好還是跟屋主打個招呼再去，要記得穿長褲可能有蛇。
教授們很可愛，看到我們在回答一個月的假期都要精進自己時笑著說她沒有那麼認真，她會追劇。（騙你的教授如果有這麼長的休假其實我會睡到12點再起床，然後打勇者鬥惡龍到天黑）
中間的男教授長得很像那個記者方君竹，知道我想當策展人還很認真告訴我他們有系友正在奇美上班。謝謝你我將嚴肅採納"
東吳資科相關,其他東吳資科,東吳水師城中版,2026/6/18 下午 3:16:38,
東吳資科相關,其他東吳資科,東吳大學 成績複查,2026/6/29 下午 1:06:29,"想問一下各位有沒有經驗 申請成績複查有成功的 
我這學期上王建輝的課 我只缺席四次生理假
作業也有交期中期末也有上台報告 但最後成績他給我50 我完全不能接受這個分數 但有來爬文說他給成績本來就蠻懸的 但我覺得我不至於不及格 頂多60壓線 提出成績複查他堅持不改還有什麼辦法"
東吳資科相關,其他東吳資科,東吳真的很爛嗎？,2026/7/4 下午 1:08:21,東吳真的很糟嗎😭因為是偏文組學校所以常被拿出來比較被戰校，東吳在職場上真的有那麼不堪嗎 學校外面沒有捷運就輸人一等了嗎捷運蓋好之後會比較好嗎
東吳資科相關,其他東吳資科,東吳水樂園,2026/6/18 下午 6:18:39,請問今天下午的暴雨有讓雙溪變成水樂園嗎
東吳資科相關,其他東吳資科,東吳流浪指南,2026/6/18 下午 7:32:58,沒想到大一就這樣那麼快結束了。感覺大學有點不像我想的一樣，以為活動什麼的很多但其實很少，不確定會不會是這個系太小的問題。然後感覺參加完活動也很難真正認識更多人，會互動的就是原本幾個認識的，不像網路上看到那種大學一大群朋友那種感覺。然後讀書也讀的破破爛爛的，大一讀完就感覺要延畢了，其實搞不好沒那麼嚴重，只是我自己想太多，但真的讀得蠻不開心。希望大二能至少在社交或讀書真正做好一件事，但我現在卻連想重修會計都會卡到我的大二必修。
東吳資科相關,其他東吳資科,文組就讀資科/資管的在職碩班之前，必須學的科目有哪些？,2023/6/29 下午 6:54:51,"背景介紹：歷史碩畢業，已經唸過計算機概論、資料結構、程式設計、資料庫、資訊管理、資通網路、系統分析與設計，也已經順利考上高考資訊處理職系，目前是公務員。

報考理由：如果未來想商調，政府事求人網站上，某些職缺都是需要資訊相關科系，我連想投履歷都沒機會。希望能考一個資訊類碩士。

預備報考科系：北商大資研所、北教大資科系、北市大資科系、東吳資管系、輔大資管系，選擇這些系所的理由，他們不用筆試，只要審查資料與面試，這樣我就不用再回頭念計概。

我現在的問題不是能不能成功入學就讀，我只怕畢不了業。因此我希望用一年的時間，利用下班時間補足基礎科目。

我大概研究了一下，應該要學的有微積分、離散數學、統計與機率、線性代數等。請問離散數學是一定要學的嗎？我看有些資管系也沒有教。我希望盡可能簡化要學的知識，只學必須要學的即可，畢竟貪多嚼不爛。

另外還有沒有哪些基礎科目，是在念碩班前必學的？

謝謝各位！"
東吳資科相關,其他東吳資科,東吳有🍵男生嗎,2026/6/13 下午 3:49:23,？
東吳資科相關,其他東吳資科,東吳音樂系,2026/7/10 下午 9:51:28,"想請問各位學長姐進入東吳音樂系需要注意什麼呢？希望能給予我一些建議～(當然越多越好！)

像是
大一建議先修樂團？聽說大一課比較少？
建不議建議加社團？選課建議選哪些可以學到很多東西壓力又不會太大？

（我很喜歡學習也樂於嘗試不同領域各種挑戰，但同時也很容易給自己很多壓力，如果課程可以學到很多我也會努力盡力去做的）

最後我想請教一件事～
音樂系網站大學部課程有藝術行政管理這門課，但選課好像又沒看見？這門課會不會很難會不會壓力很大
因為高中讀音樂班時有擔任多次舞監及幕後的經驗，對藝術行政也很有興趣，希望學長姐能多給我一些想法～

謝謝🩷"
東吳資科相關,其他東吳資科,東吳大學,2026/6/1 下午 11:13:36,"雖然已經大三了還是好想轉學
本來的學校讀得好痛苦 資管系
大三轉學過去 會不會找不到專題組員
好怕到時候更後悔轉學"
東吳資科相關,其他東吳資科,東吳暑修高微推薦,2026/5/30 下午 4:11:29,"如題
推薦原因：
1️⃣暑修相較一般學期壓力小很多
2️⃣只要全勤、平時有跟上進度，基本上都能通過，而且分數也會還不錯

拜託大家一起來修"
東吳資科相關,其他東吳資科,112台聯大轉考A4政大資科正取心得,2023/8/18 下午 11:44:04,"一、前言

對我來說，這一生完全沒有想過會考上政大，還是以錄取率極低的轉考方式考上，就稍微記錄一下達成小小里程碑的心路歷程而已，也希望準備方法能幫到想轉學的人！有報考台聯A4、政大資管和東吳資管，台聯是第一天考，考完就有點鬆懈懶得考剩下兩間，所以成績有點慘，就不公佈了。"
東吳資科相關,其他東吳資科,東吳課表跟創課登不進去,2026/6/12 上午 9:14:39,系統又怎麼了
東吳資科相關,其他東吳資科,東吳資管三轉考,2026/7/10 下午 12:59:13,想問一下東吳資管三的正取帥哥美女都會去報到嗎？我是備取一🥹
東吳資科相關,其他東吳資科,問輔大、東吳經濟系怎麼選？,2026/7/10 下午 1:52:40,"這幾天轉學考放榜！
東吳經濟：正取
輔大經濟：正取
現在在思考要去哪裡～

考量東吳的點（網路上看到的）：
-優點-
1、校名感覺東吳更勝一籌（不太確定）
2、讀書風氣更好！
3、是少數經濟系屬商學院！

-缺點-
1、比較沒有大學生活感
2、交通相較不方便

考量輔大的點（網路上看到的）：
-優點-
1、相較來說不封閉！
2、交通方便！
3、選課感覺更廣更多選擇！

-缺點-
1、網路上說需要有自制力
2、讀書氛圍較層次不齊

想問問大家的意見與想法～
補：畢業後應該還會繼續升學～
（有加進去考量 國內、外碩分別哪個有利～）

以上內容皆為目前網路上查詢整理的資訊，
如有錯誤或疏漏之處，歡迎指正，也請多多包涵。

感謝大家！"
東吳資科相關,分數/錄取,東吳資科備取,2024/5/31 上午 12:00:53,"小的想問今年備取45是否有望🥹🥹

（正取59備取110"
東吳資科相關,分數/錄取,東吳法律備取,2026/5/28 上午 9:13:18,啊啊啊啊啊乾今年東吳法律備取40幾快50還可以上嗎？
東吳資科相關,分數/錄取,正取變備取？東吳大學申請入學2系出包「近百位學生成績遭算錯」 校方致歉,2026/5/31 下午 12:54:39,"2026-05-30 16:15
聯合報 記者許維寧／台北即時報導"
東吳資科相關,分數/錄取,東吳社工備取47會上嗎…,2026/6/2 下午 2:32:56,"我的甄選總成績77.48
最低錄取74（正取79.68）
看去年備到71都有上 前年備到48
想問大家覺得機會大不大！"
東吳資科相關,分數/錄取,#升學 東吳法備取69,2026/5/28 上午 9:13:48,想問歷屆學長姐的經驗 東吳法律備取69有希望嗎😭
東吳資科相關,分數/錄取,東吳法115備取,2026/5/28 下午 2:39:59,想問今年東吳法還能全備上嗎><備到很後面很焦慮
東吳資科相關,升學制度,求救 東吳大學轉學考扣分,2026/6/29 上午 9:38:49,就是東吳大學轉學考英文都是前面40題選擇題 後面有10題就是給片語 讓我們造句 他就是1-10這樣標清楚片語的 但今年考卷上寫了一句 請標明題號並抄寫題目 答案寫在答案紙上 我題號1-10題標得很清楚 而且一題一題之間也有空一行 一定知道是在寫哪一題 但我沒看到要抄題目😭（就是把題目的那個片語再抄一次在考卷上而已）我就是題號標的很清楚 在題號後面直接寫了我的造句 這樣到底會不會被扣分🥺🥺（我覺得扣1-2分沒關係 但到底會不會給我大扣分）（他考卷上完全沒有說沒抄題目者扣分這種字眼）但我還是好緊張啊啊啊🙏
東吳資科相關,升學制度,東吳轉學考請益,2026/7/10 上午 12:16:55,"想請問東吳社工轉二年級的正取帥哥美女都會去報到嗎🥺

更
是備三！！"
東吳資科相關,科系比較,#升學 東吳資管vs輔仁醫資vs東吳資科,2025/3/27 下午 2:17:30,"我一階上了東吳資管、輔仁醫資、東吳資科、淡江電機資訊組、人工智慧學系。家裡有人要照顧所以就只填北北基的學校了。

我有爬了一下文，但大部分看到的都是文商的學生，所以想請教低卡上的學長姐。

我是自然組的學生，我是比較想上資工系的，但填的兩個都沒上，剩下這幾個選擇。

主要是在想東吳資管跟輔仁醫資要選哪個
至於資科看起來比較像數據分析，有點不太確定。

然後電機的部分我也比較沒什麼興趣可能會是我倒數第二的志願，但如果有建議是個好選擇的話我也會考慮。

還有人工智慧感覺是很新的系，我爬不太到什麼文，所以可能也是倒數考慮的科系

不清楚輔仁、東吳這兩間的讀書風氣如何，還有這兩個科的課程內容會不會真的跟資工差太多。
還有課程上的部分，我大概看了一下，都跟資工系的課有一點點的差別特別是醫資的部分，我想請問是否能透過去選修資工的課來補足。

還有我有想上研究所，想去資工所或資工相關的系所，想知道是否上以上的系可以去資工類的系所，還有我系不是資工系，是只能用考研的方式嗎，還是也可以用推徵的？

文筆不太好，請見諒，再請教各位學長姐了。
謝謝🙏"
東吳資科相關,科系比較,東吳資管vs東吳企管,2024/3/5 下午 4:17:03,"最近在選填志願
目前淡江逢甲中原東海的資管企管都可以上
東吳的這兩個都是我的夢幻科系
如果分科也很猶豫要選哪個會比較好
我有想分科的打算
113東吳企管公民需要考到51級
資管公民需要考43級
想請問學長姊關於這兩個系的出路或排名選哪個會比較好"
東吳資科相關,科系比較,淡江資管 vs 東吳資科,2024/5/20 下午 8:58:03,麻煩大家惹 剛面試完超級焦慮
東吳資科相關,科系比較,東吳資科vs資管,2022/5/31 下午 11:02:32,"資科正取資管備取5x
照往年資管是會上的
但我目前是對寫程式不排斥
不太確定自己該選哪個😓
學長姐覺得哪個系出路多或是課比較不雷嗎？
感謝大家"
東吳資科相關,科系比較,東吳會計vs東吳財精,2026/6/4 下午 3:03:20,本人是115學年的個申生，目前正在網上爬文這兩個系。東吳會計在網上的評論大多就是東吳補習班，學習強度硬且大多畢業就能有實習機會，但未來可能薪水不高但穩定。而東吳財精在網上找到的大多都是寫，學得很雜，某些專業科目都學的很淺，而且在系上九成的人都不會去考精算師執照，但若考到證照後就能有較高薪的機會。目前爬文下來自己內心的志願一直沒辦法穩定，希望有正在就讀的學長姐路過給我一些建議
東吳資科相關,科系比較,東海vs 東吳,2026/7/3 上午 1:48:41,"我是今年分科生 主要想上外文系！
東海跟東吳一直在想要填哪間 因為我歷史蠻高的應該都能上🤣🤣
我看有人說東海要一直掃地感覺超煩的，但我住南部比較想離家近一點！這是想選東海的原因，然後又聽說東海外文很強很多交換機會這樣。
啊東吳就是大家成績都蠻好的🤣感覺學習風氣比較好？？？真的很猶豫啊！！！！！但是台北真的好遠
有沒有人分享一下心得😆"
東吳資科相關,科系比較,#升學 一階放榜 問一下逢甲人工智慧vs東吳資科vs元智資管,2025/3/28 上午 12:04:33,"想問一下這三個哪個算是最好的選擇(僅為確定該最認真準備哪系 沒有任何惡意)

本人有看到逢甲AI感覺很厲害就選了 看到今年分數暴跌7分才認真翻了一下評價 才發現普遍都不太好～這系真的那麼糟嗎？

東吳資科我高去年2分(且一階分數採計倍率對我非常有利) 
元智資管高1分(分數採計較不利)
逢甲人工智慧總級高8分(分數採計些微有利)

本人比較想往AI/資工走 但由於分數尷尬導致資工很難上
但個人感覺對商業類的也不排斥
最後一階放榜過了四個(還有逢甲工工 但由於比較不符合個人喜歡沒提到)
也考慮過進入再轉資工 但感覺要維持好系上成績再轉很不穩 所以比較擔心
 
希望各位前輩提供建議🙏可以的話希望提供這三系的優先順序"
東吳資科相關,科系比較,資工哪一個會比較好？,2025/2/17 上午 11:49:46,求求學長姐解惑！大概哪一間學校的資工系會比較好
東吳資科相關,科系比較,東吳政治 vs 中正政治,2026/6/28 下午 8:46:49,"家中弟弟想讀政治系 我們是住在新北
因此弟弟在這兩間之中選擇想當目標
先說 他是要考分科的
他自己在網路上爬文
是覺得東吳離家近 但中正校名好
我也給了他一些我自己知道的資訊
我之前上過政治系的課
有聽到老師說東吳政治算是政治系第三志願
但是在網路上
政治系第三志願的位子可能有些許爭議
而我在東吳這一年的感覺
看到他們系上辦了很多講座
看起來資源多確實沒話說
有學長姐可以給我弟一些建議嗎
他真的很猶豫不定"
東吳資科相關,科系比較,東吳資管 vs 東吳企管,2023/3/21 下午 10:43:15,"對寫程式不排斥？（也沒特別有興趣）
不知道怎麼選擇……
麻煩各位給點建議，謝謝"
東吳資科相關,科系比較,#升學 東吳資管vs輔大資管,2026/6/1 下午 3:54:57,"兩間學校都已經正取，但很糾結要選哪件，想問問各位學長姐他們的優劣勢 (課業/資源上)

個人是有計劃讀研究所的，自制力不太好，所以東吳的校風和附近補習挺吸引我的。 但爬文也看到了有人說東吳的老師教的不太好，還有因為校地小，校內工具上的資源會不如輔大，想問問這些影響真的會很大嗎？
在實習上我感覺兩個學校資源都不少？至少系網上看是這樣，但我爬文看寫什麼的都有，想問問學長姐目前這方面的情況🙌
還有想問問兩校的參加比賽風氣和成績如何，因為如果讀研走推甄的話比賽應該滿加分的，還是其實私校根本很難推上中字輩以上只能考？

以上是我自己有想到，比較關注的問題，如果有其他建議也可以說，先感謝各位學長姐不吝分享🙏🙏"
東吳資科相關,科系比較,東吳資管 vs 東海資工,2023/5/12 上午 9:38:19,"如題：
對程式有興趣，但不確定該怎麼選擇，未來比較賺錢讀可能是資工系，但東吳的校名又相較來說比較好聽，想聽大家的意見。"
東吳資科相關,科系比較,東吳國貿vs輔大金企,2026/6/3 下午 6:59:42,"頭上這兩間很讓我苦惱
有點不知道要選哪一間
未來傾向於走外商
想請問各位學長姐能否給我點建議呢"
東吳資科相關,科系比較,元智資管 vs 東吳資管,2022/3/12 下午 8:32:37,"看了兩者的課程地圖了
專業選修好像差蠻多的
想知道學長姐推什麼"
東吳資科相關,科系比較,北市大心諮vs東吳心理,2026/5/28 下午 6:54:42,"前情提要一下～今天放榜，北市大正取、東吳備取48。
想問一下學長姐們改如何去排志願序（或是在校長姐貴系有沒有優缺點的），選北市大剛剛好是我目前想走的方向（諮商），東吳則是可以學多方領域且也有諮商領域，真的很苦惱😭😭😭

拜託拜託學長姐了🙇🏻🙇🏻🙇🏻"
東吳資科相關,課程/教授,東吳好師mentor計畫 推薦老師,2026/6/25 下午 8:49:30,"大家好，想請問有參加過這個計畫的學長姐有沒有推薦（或避雷）的老師小組呢？或是能分享一下聚會的內容嗎～

我目前有興趣的是蕙瑛、師勇、國強、天送 老師！"
其他,,#升學,2026/5/29 下午 8:51:19,想問東吳資科備取2X有機會上嗎🥲
其他,,少子化看來要燒到普大了..,2023/3/30 上午 9:17:08,"剛表弟考學測放榜，我和他差了七屆
以前105我考學測的時候
私立中段大學是需要一些分數的

我們當初大概5科5x(大概55左右)
很爛先別鞭

我表弟過了好幾個固然很開心

看了一下現在的篩選分數
除了前段大學慘不忍睹

不僅中段私校，只要開超過3倍篩選就有出現0級分就能過
連前段私立一階也開始雪崩了

東吳資科 英數B15
外文系10級分就過一階
淡江財金全英甚至出現國英數B19

熱門系通常好一點
但元智資工也出現 第一篩0級分
第二篩 國英19的情況

國立大學分數也大降

這在以前根本沒想到
大學真的要好好招生了
只要是中字輩以後都有可能被燒到"
其他,,分科請益,2022/6/29 下午 7:54:32,"分科倒數12天
目標是東吳資科或資管
資料科學 國文1、英文1.5、數B2、公民1.5
資管 英文1.5、數B2、公民1
都只參考分科的公民
歷屆跟北模歷屆公民大概都80上下
請問這樣的成績有機會上嗎🙏"
其他,,請益資訊類科系,2021/3/4 下午 6:45:34,"學長姐好~
我是正在選校系的高三生
目前有在考慮:
北市大資科 彰師大資管 東吳資科/資管 長庚資管 輔仁資管
請問各位學長姐有比較推薦哪個嗎或者有其他建議的?
有考慮以後考研，有哪間學校資源比較多或環境較好嗎?

附上學測成績
國13 英11 數9 自然10"
其他,,備審資料上傳方式請益,2025/4/10 下午 1:11:33,學長姐好，本人今年一階過了東吳資料科學，但由於學習歷程跟多元選修實在是做得有點差強人意，加上目前有額外跟學校老師學用C#寫學校的門禁系統，如果放進備審可能會蠻加分的。目前有在考慮要不要自行上傳pdf檔，但學校老師都說有些大學教授會因為自行上傳的pdf檔沒有認證，所以會扣一些分。想請問東吳資科的學長姐們，貴系的教授有沒有很在意學習歷程跟多元表現需要老師認證過🥲🙏🏿
其他,,大學選科系請益,2024/8/1 下午 4:23:48,"大家好～我學測時選擇就讀東吳資料科學系！但東吳最出名的是商學院和法學院 而且自己本來最想上的是國貿系 但學長姊又說讀資科是未來趨勢 比讀國貿國企有前途🥲想請問大家 東吳資科系跟東吳商學院科系大家會怎麼選？還是建議轉學去理工強項的大學讀 會比較好呢？
拜託大家給我建議了 謝謝您們🙏"
其他,,#D卡實測員招募中 邀請爸媽試試SIDIZ「RINGO韓國國民小學椅」,2026/7/14 下午 3:26:07,"💡報名並獲選參與撰文即可直接獲得「 RINGO 2代兒童成長椅 」‼️

RINGO獨特的雙向成長功能，讓椅背高度與座深同步延展，自然的支撐正在成長的孩子，正確的坐姿，是邁向無限可能的第一步。

台灣官網："
其他,,教授說很遺憾不能多了解我,2024/5/20 上午 1:07:20,"如題，昨天去東吳資科面試
面試的時候教授對我的內容表現的還蠻有興趣的
(但也許是我自作多情?
這次面試我非常自信的把我想要表達的東西有表達出來
面試結束後教授說
「很遺憾這次面試不能多了解你」
想請問我這樣是不是上的機率很低啊"
其他,,私立前段,2026/7/1 上午 3:29:45,"雖然都是私立的店到店
但是排序還是很重要
不要誤了往後的學生

在這裡申明
一類：東＞=輔＞東海＞=淡
二類：智＞原＞輔＞淡=東海
三類：北醫＞高、中國、長庚＞輔

其他沒在上面的學校不是太沒價值就是我沒排到
可再提供意見
某些特別強勢科系不在本次排序範圍
ex:東海建築

以上有小修 歡迎大家提供意見

如果有不服的學校 歡迎來戰
不用再留什麼私立店到店
這個我們是有認知的

經過這幾天的留言區互動
大致歸納完成
東吳、元智、北醫 這三所在某方面都是私校強者
輔仁 在綜合資源方面是私校第一名
東海、淡江 綜合資源是私校第二梯隊
選擇這些學校端看個人的學涯規劃
想跨領域資源建議輔仁 其次東海、淡江
想鑽研某類領域建議 東吳、元智、北醫"
其他,,轉學考選擇,2024/1/17 上午 4:39:33,"想請問 中原資管 長庚資管 東吳資管 東吳資科 
這四個該怎麼排嗎 感覺中原最好 畢竟理工學校
東吳的話校名感覺挺香 都幾"
其他,,殘酷二選一 選校or選系,2022/3/31 下午 9:11:56,"雖然說還沒要做選擇
但我想先來問問大家的意見🤧
中正成人與繼續教育 vs 東吳會計
該選哪個呢～？
我還上了東吳資科和輔仁資管
感覺東吳會計最好是嗎🤔
（但我本人有點輕微的中字輩迷思）
希望有學長姐能給個意見😭🙏

更新一下
由於大家都說填東吳會計
那想請問有沒有東吳會計的學長姐能跟我說一下優缺點呢？
或是其他學校會計系對於該系有沒有什麼看法之類的
喔還有 在審查資料方面有需要特別準備什麼嗎？
謝謝所有回答我的人🥺💖"
其他,,成績請益,2024/8/2 下午 5:00:10,"國：43
英：32
數B：23
公民：37

請問有機會上東吳資管或資科嗎，謝謝🙏"
其他,,國13 英12 適合考分科嗎,2022/4/2 下午 6:28:03,"想請問各位朋友們
你們覺得我學測成績
國文13 英文12（本來13 因為沒簽名被扣一級分）
我上網查過 如果是被扣一級分的話
會先用原始級分的成績轉成分科的級分（滿級60）
再扣一級分 這樣比重會比較輕
反正我現在真的很猶豫要不要考分科
目前一階是上了
中正成教/東吳會計/輔仁資管/東吳資科
殼以給我一點小小的意見嗎拜託了🤧❤️‍🔥"
其他,,我決定分科了 但是⋯⋯,2022/4/19 下午 7:00:47,"（有人跟我一樣決定考分科但是在焦慮的嗎😭）
大家好～這篇文有點在抒發心情也有點在請教意見🙏
先附上我轉換成60級分的分數："
其他,,115分科社工系會漲嗎,2026/7/17 下午 10:12:15,我是今年115分科生 公民考太爛🥹本來能保證上東吳現在爛到跟東吳社工系去年的分數一模一樣 現在也奢求東吳收留我😭想請問今年會不會漲或是降！
其他,,學測成績請益,2023/3/5 下午 5:06:34,"借朋友帳號發文
各位學長姐好，可以請大家給我一點建議嗎？謝謝！

學測成績
國 11（均）
英 15 （頂）
數A 5 （後）
數B 9 （均）
自 8 （後）
社 9（均）
目前沒有考慮分科或重考，請問這樣的成績可以上哪些大學的資工或資管相關科系？
有考慮輔仁資工、淡江全英語資工、東吳資科、中原加威大資工電機
麻煩大家幫忙解惑，謝謝！"
