id,text
12,"115學年度大學入學申請第二階段甄試面試
東吳大學資料科學系許晋雄教授暨教務長分享
115學年度開始資料科學系學士班增設，開三班，申請入學招收90名學生了！
#東吳大學
#資料科學系
#申請入學"
13,"只要30秒，讓你輕鬆抵達巨資學院資料科學系❗️
巨資小編今天介紹「校內動線1」，由校門口進來後走臨溪路接敬熙路，就可以抵達哲生樓，我們系在3樓。
看完請記得按按讚，簡單又輕鬆😚
再~也不用擔心在東吳迷路找不到「哲生樓」囉。
巨資小編是你最貼心的GPS 💁‍♀️"
14,"只要30秒，讓你輕鬆抵達巨資學院資料科學系❗️
巨資小編今天介紹「校內動線2」，由校門口進來後走臨溪路接敬熙路，就可以抵達哲生樓，我們系在3樓。
看完請記得按按讚，簡單又輕鬆😚
再~也不用擔心在東吳迷路找不到「哲生樓」囉。
巨資小編是你最貼心的GPS 💁‍♀️"
15,"115學年度大學申請入學第二階段指定項目甄試面試時間表公告囉!
5/15下午也可以來東吳大學外雙溪校區查看試場(但各試場教室一律不予開放進入喔)
entrance.exam.scu.edu.tw/zh-ha…
面試辛苦了！下一站：H303 科技體驗區 🤖✨"
16,"來源：2026/05/06 東吳大學校園頭條
news.scu.edu.tw/news…"
17,東吳大學巨量管理學院
18,"#巨資小編快報💬東吳大學資料科學系金凱儀院長 4月24 日引領高中生探索職涯。
資料科學是 AI 發展的基石，透過整合各產業數據發揮跨域影響力。因應 AI 工具普及化趨勢，資科系展現深耕數據分析應用與培育跨域人才的豐沛能量。"
19,"東吳資料科學系明白高中考生的焦慮，針對考生與家長最關心的二階甄試疑問，我們準備了攻略。
📺 精采電視專訪： 4/18(六) 21:00 鎖定 MOD 520
🔍你的疑問，我們來解惑： 每天鎖定粉專/IG，我們整理了超實用的甄試 QA，幫你消除面試緊張感，展現最棒的自己！
#東吳大學 #巨資學院 #資料科學系 #大學申請入學 #二階甄試"
20,"面對二階甄試，你準備好展現潛力了嗎？
【東吳資料科學系】帶你掌握 AI 核心競爭力。
考生與家長如雪片般飛來的問題我們都收到了，將一一解答！
📺 精采電視專訪： 4/18(六) 21:00 鎖定 MOD 520
🔍 甄試 QA： 每日鎖定FB粉專/IG，助你自信面試，預約數位時代的無限未來！
#東吳大學 #巨資學院 #資料科學系 #大學申請入學 #AI #大數據 #二階甄試"
21,"巨資小編💬2026預見東吳😊給我10秒帶你來哲生樓！
親愛的家長與考生請至綜合大樓1樓報到後，資料科學系在哲生樓歡迎大家光臨唷🥰"
22,"一階結果出爐！別猶豫，來東吳現場看看最準！
東吳大學為了迎接優秀的準新鮮人，早就準備好了一份誠意滿滿的超級大禮！
立即報名🔥【2026預見東吳】
115/4/11、4/12－台北場(東吳大學 外雙溪校區)
115/4/18-台中場(台中全國大飯店)
115/4/19-高雄場(高雄福容大飯店)
詳細活動資訊👇
scu.edu.tw/entra…"
23,"🔥【讓AI幫你工作與生活：從零開始的實作體驗工作坊】報名囉！
名額只有20個，本校教職員生皆可報名，實體課程，手刀報名！
打造你的專屬 AI 助手：Ollama × OpenClaw 實戰入門
🔔完成本工作坊後，你將能夠：
理解什麼是 AI 助手，以及它與一般聊天工具的差異
在自己的電腦上安裝並運行 AI 模型（透過 Ollama）
建立一個可以「幫你做事」的 AI 助手（透過 OpenClaw）
完成實際部署，並能透過 Telegram 與你的 AI 助手互動
🔔課程資訊
日期 115年4月9日（星期四） 12:00～15:00
地點 外雙溪校區D101
費用 免費
名額 20名（額滿為止）
教學方式 實體授課（講解＋實作）
授課講師 資料科學系吳政隆教授、吳東儒、吳歷其、吳秉勳
🔅請自行攜帶筆記型電腦及電源線
🔅課程包含實作操作，建議全程參與
🔅請事先確認筆電可正常連接校園 Wi-Fi（課程需使用網路）
#東吳大學 #巨資學院 #資料科學系 #OpenClaw工作坊"
24,"🌟115學年度 東吳大學 巨量資料管理學院資料科學系碩士班及碩士在職專班～熱烈招生中，免筆試～歡迎報考！
👉最後不到 24 小時｜報名即將於下午5點截止
👉最後不到 24 小時｜繳費即將於下午11點59分截止
👉把握進入資料科學專業殿堂的關鍵時刻
👉 立即完成報名繳費，掌握升級關鍵一年
👉 今天不行動，就要再等一年
網路報名日期：自114年12月9日(二) 至115年1月5日(一)17:00止
東吳大學招生資訊網🔗entrance.exam.scu.edu.tw
#東吳大學 #巨量資料管理學院 #資料科學系
#碩士班考試 #碩士在職專班考試"
25,"🌟東吳大學即將於 114年12月30日(星期二)18:30-20:30 舉辦 「115學年度碩士在職專班招生線上說明會」 。
本校碩士在職專班致力於培養具備專業深度與跨域整合能力的高階人才，課程設計結合理論與實務，涵蓋AI科技應用、數據分析、永續發展、創新設計等多元主題，並與業界緊密連結，提供學生豐富的實作與研究機會，協助每一位學生在學術與實務領域中精進成長，成為面對未來挑戰的關鍵人才！
馬上點擊下方連結參加！
📌說明會報名網址：forms.gle/Y796Z…
🥳歡迎對人工智慧或資料科學有興趣的朋友上網報名參加唷！"
26,"115學年度 東吳大學 巨量資料管理學院資料科學系碩士班考試～熱烈招生中，免筆試～歡迎報考！
📌報考資訊✨
🔗東吳大學招生資訊網報名連結 entrance.exam.scu.edu.tw
【網路報名日期】自114年12月9日(二) 至115年1月5日(一)止
【面試日期】115年2月25日(三)
【招生名額】5 名
【報考資格】依本校115學年度碩士班招生考試簡章之規定，符合碩士班報考資格
【甄試方式及項目】1.資料審查 2.面試
【需繳交書面資料】※資料一律採網路上傳※
1.報名表。
2.最高學歷歷年成績單。
3.研究計畫。
4.履歷自傳。
5.其他有利審查資料。
《以上資料僅供參考，正式資料請依招生簡章內容為準。》"
27,"東吳大學生涯發展中心辦理「校外實習分享會」！
想了解同學們的實習經驗、提升自我職涯競爭力嗎？
歡迎同學踴躍參加，一起汲取寶貴的實習心得！
📅 時間｜114 年 12 月 10 日（星期三）中午 12:10
📍 地點｜雙溪校區 H304
🍱 備註｜凡完成報名者可獲得活動餐盒唷！"
28,"115學年度 東吳大學 巨量資料管理學院資料科學系碩士在職專班～熱烈招生中，免筆試～歡迎報考！
📌報考資訊
🔗東吳大學招生資訊網報名連結 entrance.exam.scu.edu.tw
【網路報名日期】自114年12月9日(二) 至115年1月5日(一)止
【面試日期】115年3月8日(日)
【招生名額】48 名
【報考資格】依本校115學年度碩士在職專班招生簡章之規定，具備碩士報考資格，並累計工作經驗兩年以上
【甄試方式及項目】1.資料審查 2.面試
【需繳交書面資料】※資料一律採網路上傳※
1.報名表。
1.個人資料表。
2.研究計畫。
3.工作經驗表。
4.其他足資證明個人專業工作成就資料。
《以上資料僅供參考，正式資料請依招生簡章內容為準。》"
29,"115學年度 東吳大學 巨量資料管理學院資料科學系碩士班考試～熱烈招生中，免筆試～歡迎報考！
📌報考資訊
🔗東吳大學招生資訊網報名連結 entrance.exam.scu.edu.tw
【網路報名日期】自114年12月9日(二) 至115年1月5日(一)止
【面試日期】115年2月25日(三)
【招生名額】5 名
【報考資格】依本校115學年度碩士班招生考試簡章之規定，符合碩士班報考資格
【甄試方式及項目】1.資料審查 2.面試
【需繳交書面資料】※資料一律採網路上傳※
1.報名表。
2.最高學歷歷年成績單。
3.研究計畫。
4.履歷自傳。
5.其他有利審查資料。
《以上資料僅供參考，正式資料請依招生簡章內容為準。》"
30,"📌報考資訊
🔗東吳大學招生資訊網報名連結 entrance.exam.scu.edu.tw
【網路報名日期】自114年10月13日(一) 至114年10月27日(一)止
【面試日期】114年11月14日(五)
【招生名額】12 名
【報名資格】國內公立或已立案之私立大學或符合教育部採認規定之國外大學畢業，取得學士學位(含應屆)
【甄試方式及項目】1.資料審查 2.面試
【需繳交書面資料】※資料一律採網路上傳※
1.報名表。
2.大學畢業證書（或同等學力證件）影本、最高學歷歷年成績單。
3.學習計畫。
4.履歷自傳。
5.其他有利審查資料。
《以上資料僅供參考，正式資料請依招生簡章內容為準。》"
31,"📢巨資學院「文華獎學金」即日起開放申請！10/30(四)中午12:00截止 ‼️
📃「文華獎學金」由巨量資料管理學院張善政榮譽院長創辦，並以其父母親之名成立，希望藉此拋磚引玉，鼓勵各界捐助東吳大學推動大數據紮根教育。
【注意事項】
1.請掃描海報中的QR Code，詳閱辦法後，以線上填表的方式進行申請。
2.若申請獎項為2項，請填寫表單2次，以此類推。
3.申請「競賽表現優良」者，如為團體參賽，請獲獎成員各自提出申請。
4.承辦人：資料科學系陳姿吟專員，☎️分機5935
💌電子郵件 tychen@gm.scu.edu.tw"
32,"114 學年度碩士班新生座談圓滿落幕 🎉
8 月 12 日，我們迎來了 114 學年度碩士班的新生們！
在溫馨融洽的氛圍中，金凱儀院長期勉同學在東吳展開充實而精彩的學習旅程。蘇明祥老師細心介紹本系師資與專長領域，班導師吳政隆老師則分享了碩士生的學習規劃與生活輔導。
感謝參加座談的師長們以及同學們！最讓人感動的是碩士班的學長姐們熱情分享自身經驗，不僅提供實用的學習經驗，更用滿滿的熱情歡迎新加入的學弟妹們！🤝
💡 期待未來的日子裡，新生們能在東吳茁壯成長！✨
#東吳大學 #巨資學院 #資料科學系 #碩士班新生座談 #溫馨迎新 #學長姐非常棒 #碩士生活新目標"
33,"各位 114 學年度即將入學的新生與家長，大家好！
感謝您對東吳大學巨量資料管理學院資料科學系的支持與喜愛，熱烈歡迎各位新生加入我們的行列！💡
今年 114 學年度分發入學 再度滿招 🎉，期待在九月的 「第一哩」新生活動與你們相見，開啟精彩的大學旅程！🚀
#東吳大學 #巨資學院 #資料科學系 #東吳資科再度滿招 #超夯科系
#東吳第一哩"
34,"📢 巨資學院資料科學系網站維護公告
親愛的使用者您好：
本學院系網站自 2025年8月5日（星期二）上午起進行系統維護作業，維護期間網頁功能暫時無法使用。
造成不便，敬請見諒。
如需協助，請聯絡本系信箱：bigdata2@gm.scu.edu.tw。
感謝您的理解與配合！
東吳大學巨量資料管理學院資料科學系 敬上"
35,"恭賀 🎉巨資學院資料科學系吳政隆老師指導碩士在職專班劉嘉玲、董建祺、劉柔萱同學榮獲IEEE Systems,Man, and Cybernetics Society【2025 International Conference on Advanced Machine Learning and Data Science (AMLDS 2025)】
BEST ORAL PRESENTATION👏👏👏👏
巨資學院全體師生同賀"
36,"🎉巨資學院10週年｜院長交接典禮暨院友會成立大會圓滿落幕🎉 本校巨量資料管理學院於114年6月28日，在城中校區游藝廣場舉行新舊院長交接儀式與院友會成立大會暨第1屆院友會會員大會。 巨資學院邁入第10年，一路走來，致力於推動跨域學程、強化資料科學與AI人才培育，深化智慧創新與產學合作，並於113學年度設立「智慧創新AI學習中心」，積極打造AI應用實作場域，成為引領未來的學習基地。 桃園市長暨本院榮譽院長張善政特別致賀，肯定巨資學院十年有成，並持續捐贈「文華獎學金」，鼓勵學生學有所成、貢獻社會，展現他對AI教育與青年人才的長期關注與支持。 在詹乾隆校長監交下，於謝蕎卉社會資源長、校友總會劉詩聖顧問、巨資學院教職同仁及超過70位熱情院友、共計百餘位與會者的共同見證中，新任院長金凱儀教授正式從許晋雄院長手中接下印信，象徵AI教育使命的延續與創新。 此外，第1屆院友會也正式成立，由106級戴師勇校友擔任首任會長，未來將攜手校友、師長與業界夥伴，推動資源連結與AI產業交流，共創巨資下一個十年的亮眼成就！
1
/
2"
37,"—
📅【113學年度東吳大學畢業典禮資訊】
114年6月7日(六)11:00-12:10 外國語文學院、理學院、巨量資料管理學院
地點：外雙溪校區綜合大樓 傳賢堂
更多資訊🔗 scu.edu.tw/regcu…"
38,"🎥 今天的面試圓滿落幕，感謝每位考生與家長的到來！
5/18 的面試我們準備好了～期待與你相見 👋
#東吳大學 #巨資學院 #資料科學系 #申請入學 #甄試 #面試"
39,📌114學年度大學申請入學第二階段指定項目甄試筆試試場及面試時間表公告➠　reurl.cc/9DQRE…
40,"★東吳大學114學年度申請入學指定項目甄試通知單(資料科學系)
➡️　reurl.cc/7KWMY…"
41,"★114 學年度東吳大學申請入學補充規定
➡️　reurl.cc/VYq4e…"
42,"📅甄試日期：114年5月17、18日〔星期六、日〕，詳「面試時間表」➡️　reurl.cc/yRl6R…
🏫甄試地點：東吳大學外雙溪校區哲生樓3樓(臺北市士林區臨溪路70號)
備註：
⛧請隨身攜帶具身分證字號及照片之證件正本備查(身分證明文件不得以電子圖檔取代)。
⛧本系應試校區(外雙溪校區哲生樓3樓)，並請依本系指定項目甄試通知單規定時間及地點應試，避免損及應試權益。"
43,《東吳AI教室大變身！高中生限定開箱🔥》小編帶你飛之開箱篇-輝達Nvidia X #東吳大學 #智慧創新AI學習中心
44,📢東吳大學攜手輝達 引進NVIDIA GeForce RTX 50系列 打造「智慧創新AI學習中心」 📰資料來源：中央社 2025/4/30 🔗cna.com.tw/postw… 東吳大學將透過校內巨量資料管理學院的專業資源，以及GeForce RTX 50系列桌上型電腦，在AI硬體及軟體領域的領先技術，開設相關的AI課程。 「智慧創新AI學習中心」將成為東吳大學推動AI技術應用的核心基地，並在巨資學院的主導下與相關協力廠商，包括愛迪斯科技、欣亞數位和微星科技等公司，展開AI虛擬人及元宇宙技術、跨領域專業應用、產學合作、智慧校園等四大面向運用，針對AI基礎、創意與設計、行銷與媒體、產學合作專題四大領域。開設超過10門特色課程，包含機器學習入門、雲端應用設計、資料視覺化與分析、AI虛擬人開發、生成式影音創作、多媒體設計與互動技術等多元課程，提供學生選修，培養學生具備AI應用能力、跨領域整合能力以及多媒體設計的專業技能，為未來在AI相關領域的發展鋪路。 #東吳大學 #巨資學院 #資料科學系
45,東吳大學攜手輝達 引進NVIDIA GeForce RTX 50系列 打造「智慧創新AI學習中心」 | 中央社訊息平台
46,"📌資料科學系114學年度「學士生先修碩士班課程」招生開跑
歡迎想跟著系上老師繼續學習的同學們報名
🚩大四修課，碩一完成論文即畢業喔
📅報名截止日期：114年5月5日至114年5月29日止
👥錄取名額：學士班三年級以上學生（至多６名）
#東吳大學 #巨資學院 #資料科學系 #學士生先修碩士班課程"
47,"2025預見東吳-台中場
感謝參加！#東吳大學 #巨資學院 #資料科學系"
48,"🧸【🎉 2025預見東吳：溪城見面會】
📍地點：東吳大學外雙溪校區
🗓 時間：4月12日（五）下午 13:00～16:30
📖 詳細活動資訊 👉 web-ch.scu.edu.tw/entra…"
49,"📌 2025預見東吳-資料科學系QA特輯①
🎓 在高中階段可以準備的學習方法或方向？
想申請資料科學系，但不知道該如何準備？資料科學系老師與學長姐親自分享高中階段的學習方向，幫助你奠定扎實基礎！🚀
🌟 資料科學不只是數學好就夠了！ 學長姐會告訴你最有效的學習策略，讓你學習更輕鬆！📊✨
📝 也別忘了報名【2025預見東吳：溪城見面會】！
🎟 免費參加！（名額有限，額滿為止）
🔗 活動詳情 👉 web-ch.scu.edu.tw/entra…
📝 立即報名 👉 reurl.cc/QY65g…"
50,"⭐️ 熱烈歡迎國立基隆高級中學師生蒞臨東吳大學
基隆高中於114.3.28(五)至本校進行參訪及課程體驗，由教務長兼巨資學院許晋雄院長代表致詞。上午11:20～12:00 由本系蘇維宗老師進行解說，主題為「數據的魔法世界」💫，約78位師生參與。內容包含介紹學群特色、資料分析於生活中的應用、學系學習亮點、未來進路與職涯發展等，期待同學們對於資料科學系有更深入的了解。✨
期待未來能再度於東吳大學相聚，共同開創更多精彩篇章！
#東吳大學 #巨量資料學院 #資料科學系 #高中生體驗課程"
51,"🔗 詳細錄取名單與報到方式請見東吳大學招生資訊網公告
reurl.cc/vQ3gG…"
52,🔗 詳細錄取名單與正、備取生報到方式請見東吳大學招生資訊網公告　reurl.cc/j9M1M…
53,"🎯【114學年度 東吳大學巨資學院 🎙️資科系大哉問 - 線上QA互動座談】
親愛的高中生與家長您好
📚 在互動座談會中，我們將介紹 學習歷程檔案準備指引，幫助您做好萬全準備！💡 🎙️ 這場線上座談，將帶您深入認識資料科學系，讓您對未來的學習方向更加明確！
📅 活動資訊
🔹 日期：114 年 03 月 15 日（六）
🔹 時間：上午 09:30 - 11:00
🔹 形式：線上座談（報名時間截止後將另發送連結）
🔹 報名截止：114 年 03 月 14 日（五）中午 12:00截止
💡 立即報名，報名連結：forms.gle/YF1n8… ✅ 無論您是對資料科學充滿興趣，還是正在考慮申請，這場座談都將為您提供寶貴資訊。
📢 機會難得，錯過等明年！ 💪
💙 我們在座談會等你，讓我們一起開啟資料科學的精彩未來！ 🚀"
54,"【東吳大學聲明】
針對媒體報導有呂男在東吳大學餐廳進行毒品交易，經查該案為某櫃位承包商個人行為與本校無涉，且交易對象亦非本校師生。本校在知悉相關訊息後，第一時間即依照合約，由餐廳委外廠商麗陽公司與呂姓承商立即解約停業。未來本校將敦促統包廠商加強校內餐廳承商的資格審核，以維護學生安全與權益。"
55,"💥東吳大學114學年度申請入學準備指引暨相關資訊公告
請見東吳大學招生資訊網 reurl.cc/zpd62…"
56,"⭐巨資學院資料科學系寒假服務時間公告⭐
📆即日起至114/1/15為寒假期間，系辦服務時間為星期一至星期四8:30~12:00、13:00~16:00(12:00~13:00午休)
➡1/24~2/4為全校連續休假(春節假期)"
57,"🎉【113學年專題實作成果發表會】精彩回顧與得獎名單揭曉！🎉
感謝所有參與者及師生的熱情支持，巨資學院資料科學系 113學年專題實作成果發表會 已圓滿落幕！🎓✨
現場熱鬧非凡，學生們展現出專業能力與創新思維，讓每個專題都大放異彩！
🌟這些成果不僅僅是對課堂學習的最佳驗證，更是一場與業界需求無縫接軌的實戰演練。👏
恭喜得獎團隊與同學，精彩實力讓評審們一致讚賞！
#東吳大學 #巨資學院 #資料科學系 #專題實作成果發表會"
58,"🔥 大數據+AI，成就職場與校園新星的你！
📊 無論你是科技新貴、大學生，還是職場進修者，東吳大學巨量資料學院幫助你實現職涯飛躍與學術進步！
⏳ 報名倒數中！113/12/17~114/1/6 免筆試，馬上報名！
💻 entrance.exam.scu.edu.tw
📖 想更了解？詳情看這裡：
👉 碩士在職專班招生簡章：reurl.cc/864jK…
👉 碩士班招生簡章：reurl.cc/8646o…
🚀 把握未來，從報名這一刻開始！"
59,"🌟巨資學院資料科學系 113學年專題實作成果發表會得獎名單🏅
bigdata.scu.edu.tw/pract…
恭喜得獎團隊，也感謝所有參與的師生！"
60,"💡 東吳大學巨量資料管理學院資料科學系，助你邁向數據專家、語言模型開發與人工智慧應用的未來！
⏳ 113/12/17~114/1/6報名截止
🌐 請上東吳招生資訊網報名：entrance.exam.scu.edu.tw
🚀 免筆試🌟 成為數據專家與AI領域的引路人！加入數據與AI頂尖人才行列！
#東吳大學 #巨資學院 #資料科學系 #碩士班 #碩士在職專班 #招生 #強化AI服務 #引領創新應用 #人工智慧 #語言模型 #資料科學 #數據分析"
61,#東吳大學 #巨資學院 #資料科學系 #文華獎學金
62,"恭賀 🎉
🌟巨資學院資料科學系曾芷葳、賴士瑜、藍言馨、余瑄瑤等４位同學 榮獲中華郵政2024郵政大數據競賽「優等」獎❗️
指導教授:葉向原教授
題目:i郵箱智慧化郵政佈點的創新與優化
巨資學院全體師生同賀"
63,"恭賀 🎉
🌟巨資學院資料科學系賴士瑜、吳東儒、 藍言馨、余瑄瑤、曾芷葳、李沛錡同學 榮獲交通部觀光署 113年觀光盃Open Data黑客松佳作❗️
題目:旅遊互動新革命：AI虛擬導遊！
巨資學院全體師生同賀"
64,"恭賀 🎉
🌟巨資學院資料科學系賴士瑜、吳東儒、藍言馨、余瑄瑤、曾芷葳同學 榮獲交通部觀光署 113年觀光盃Open Data黑客松佳作❗️
指導教授:葉向原教授、呂明頴副教授
題目:邁向完美旅行：啟動AI旅遊的精準規劃！
巨資學院全體師生同賀"
65,"恭賀🎉巨資學院資料科學系蔡成杰、楊沛潔、曾鈺涵、葉于萱等４位同學(指導教授:呂明頴副教授)榮獲交通部觀光署 113年觀光盃Open Data黑客松第３名❗️
巨資學院全體師生同賀"
66,「AI驅動未來，大數據啟發新視界——即刻報名東吳大學巨資學院資料科學系！」 👥 加入東吳，成為資料科學的下一個領航者！參加2024巨資學院沙龍講堂&114學年度碩士在職專班招生說明會，一起探索巨量資料和AI的潛力，讓未來更智慧！了解更多，馬上報名！📆 ⭐️【報名連結】 forms.gle/uPZb1… ⭐️【活動日期】 113年11月30日(六)15:00-17:00 專題講座 113年12月14日(六)14:00-17:00 114學年度碩士在職專班招生說明會/專題講座 113年12月28日(六)15:00-17:00 專題講座 ⭐️【活動地點】東吳大學城中校區第五大樓5117哲名廳(11/30)、5211作楠廳(12/14、12/28) ⏱114學年度東吳大學巨資學院資料科學系碩士在職專班招生簡章將於11月中下旬公告，報名日期為113年12月17日至114年1月6日，免筆試，歡迎報考！更多詳細內容請見東吳大學招生資訊網 ( entrance.exam.scu.edu.tw）。
67,"📢114學年度巨資學院資料科學系碩士班甄試面試時間暨注意事項
★請考生務必攜帶身分證明文件(需有身分證字號及相片)至報到地點供查驗。
★為避免交通壅塞，請考生務必提早到校。
🔔資科系碩士班甄試
面試時間:113年11月15日(五)
面試地點:東吳大學外雙溪校區哲生樓H308會議室(H302報到)
面試時間表連結任意門➡️
reurl.cc/YqyZ1…"
